"","symbol","date","close","volume","name","gics_sector","gics_sub_industry","headquarters","key_people","number_of_employees"
"20","AAPL",2021-08-02,145.520004,62880000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"21","AAPL",2021-08-03,147.360001,64786600,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"22","AAPL",2021-08-04,146.949997,56368300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"23","AAPL",2021-08-05,147.059998,46397700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"24","AAPL",2021-08-06,146.139999,54126800,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"25","AAPL",2021-08-09,146.089996,48908700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"26","AAPL",2021-08-10,145.600006,69023100,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"27","AAPL",2021-08-11,145.860001,48493500,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"28","AAPL",2021-08-12,148.889999,72282600,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"29","AAPL",2021-08-13,149.100006,59375000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"30","AAPL",2021-08-16,151.119995,103296000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"31","AAPL",2021-08-17,150.190002,92229700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"32","AAPL",2021-08-18,146.360001,86326000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"33","AAPL",2021-08-19,146.699997,86960300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"34","AAPL",2021-08-20,148.190002,60549600,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"35","AAPL",2021-08-23,149.710007,60131800,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"36","AAPL",2021-08-24,149.619995,48606400,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"37","AAPL",2021-08-25,148.360001,58991300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"38","AAPL",2021-08-26,147.539993,48597200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"39","AAPL",2021-08-27,148.600006,55802400,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"40","AAPL",2021-08-30,153.119995,90956700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"41","AAPL",2021-08-31,151.830002,86453100,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"42","AAPL",2021-09-01,152.509995,80313700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"43","AAPL",2021-09-02,153.649994,71115500,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"44","AAPL",2021-09-03,154.300003,57808700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"45","AAPL",2021-09-07,156.690002,82278300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"46","AAPL",2021-09-08,155.110001,74420200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"47","AAPL",2021-09-09,154.070007,57305700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"48","AAPL",2021-09-10,148.970001,140893200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"49","AAPL",2021-09-13,149.550003,102404300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"50","AAPL",2021-09-14,148.119995,109296300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"51","AAPL",2021-09-15,149.029999,83281300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"52","AAPL",2021-09-16,148.789993,68034100,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"53","AAPL",2021-09-17,146.059998,129868800,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"54","AAPL",2021-09-20,142.940002,123478900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"55","AAPL",2021-09-21,143.429993,75834000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"56","AAPL",2021-09-22,145.850006,76404300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"57","AAPL",2021-09-23,146.830002,64838200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"58","AAPL",2021-09-24,146.919998,53477900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"59","AAPL",2021-09-27,145.369995,74150700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"60","AAPL",2021-09-28,141.910004,108972300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"61","AAPL",2021-09-29,142.830002,74602000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"62","AAPL",2021-09-30,141.5,89056700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"63","AAPL",2021-10-01,142.649994,94639600,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"64","AAPL",2021-10-04,139.139999,98322000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"65","AAPL",2021-10-05,141.110001,80861100,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"66","AAPL",2021-10-06,142,83221100,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"67","AAPL",2021-10-07,143.289993,61732700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"68","AAPL",2021-10-08,142.899994,58773200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"69","AAPL",2021-10-11,142.809998,64452200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"70","AAPL",2021-10-12,141.509995,73035900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"71","AAPL",2021-10-13,140.910004,78762700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"72","AAPL",2021-10-14,143.759995,69907100,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"73","AAPL",2021-10-15,144.839996,67940300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"74","AAPL",2021-10-18,146.550003,85589200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"75","AAPL",2021-10-19,148.759995,76378900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"76","AAPL",2021-10-20,149.259995,58418800,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"77","AAPL",2021-10-21,149.479996,61421000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"78","AAPL",2021-10-22,148.690002,58883400,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"79","AAPL",2021-10-25,148.639999,50720600,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"80","AAPL",2021-10-26,149.320007,60893400,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"81","AAPL",2021-10-27,148.850006,56094900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"82","AAPL",2021-10-28,152.570007,100077900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"83","AAPL",2021-10-29,149.800003,124953200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"84","AAPL",2021-11-01,148.960007,74588300,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"85","AAPL",2021-11-02,150.020004,69122000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"86","AAPL",2021-11-03,151.490005,54511500,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"87","AAPL",2021-11-04,150.960007,60394600,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"88","AAPL",2021-11-05,151.279999,65463900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"89","AAPL",2021-11-08,150.440002,55020900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"90","AAPL",2021-11-09,150.809998,56787900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"91","AAPL",2021-11-10,147.919998,65187100,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"92","AAPL",2021-11-11,147.869995,41000000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"93","AAPL",2021-11-12,149.990005,63804000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"94","AAPL",2021-11-15,150,59222800,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
